Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class,,Clasifying Unlabeled Data,,,Rank,Euclidean Distance,Label
6.5,2.8,4.6,1.5,Iris-versicolor,,Species,Sepal Length (cm),Sepal Width (cm),42,2.416609195,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor,,?,5.5,5,32,2.209072203,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor,,,,,38,2.319482701,Iris-versicolor
5,2,3.5,1,Iris-versicolor,,,,,48,3.041381265,Iris-versicolor
5.9,3,4.2,1.5,Iris-versicolor,,Classification based on k = 3,,,24,2.039607805,Iris-versicolor
6,2.2,4,1,Iris-versicolor,,,,,46,2.844292531,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor,,k,label,,31,2.184032967,Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor,,1,0.632455532,Iris-setosa,26,2.102379604,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor,,2,1.044030651,Iris-setosa,33,2.247220505,Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor,,3,1.264911064,Iris-setosa,21,2.002498439,Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor,,,,,38,2.319482701,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor,,,,,43,2.501999201,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor,,,,,18,1.843908891,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor,,,,,34,2.28035085,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor,,,,,45,2.62488095,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor,,,,,34,2.28035085,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor,,,,,37,2.284731932,Iris-versicolor
6.6,3,4.4,1.4,Iris-versicolor,,,,,36,2.282542442,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor,,,,,44,2.555386468,Iris-versicolor
